연도,소한,대한,입춘,우수,경칩,춘분,청명,곡우,입하,소만,망종,하지,소서,대서,입추,처서,백로,추분,한로,상강,입동,소설,대설,동지
1981,1월 5일,1월 20일,2월 4일,2월 19일,3월 6일,3월 21일,4월 5일,4월 20일,5월 5일,5월 21일,6월 6일,6월 21일,7월 7일,7월 23일,8월 7일,8월 23일,9월 8일,9월 23일,10월 8일,10월 23일,11월 7일,11월 22일,12월 7일,12월 22일
1982,1월 6일,1월 20일,2월 4일,2월 19일,3월 6일,3월 21일,4월 5일,4월 20일,5월 6일,5월 21일,6월 6일,6월 22일,7월 7일,7월 23일,8월 8일,8월 23일,9월 8일,9월 23일,10월 9일,10월 24일,11월 8일,11월 23일,12월 7일,12월 22일
1983,1월 6일,1월 21일,2월 4일,2월 19일,3월 6일,3월 21일,4월 5일,4월 21일,5월 6일,5월 22일,6월 6일,6월 22일,7월 8일,7월 23일,8월 8일,8월 24일,9월 8일,9월 23일,10월 9일,10월 24일,11월 8일,11월 23일,12월 8일,12월 22일
1984,1월 6일,1월 21일,2월 5일,2월 19일,3월 5일,3월 20일,4월 4일,4월 20일,5월 5일,5월 21일,6월 5일,6월 21일,7월 7일,7월 23일,8월 7일,8월 23일,9월 7일,9월 23일,10월 8일,10월 23일,11월 7일,11월 22일,12월 7일,12월 22일
1985,1월 5일,1월 20일,2월 4일,2월 19일,3월 6일,3월 21일,4월 5일,4월 20일,5월 5일,5월 21일,6월 6일,6월 21일,7월 7일,7월 23일,8월 7일,8월 23일,9월 8일,9월 23일,10월 8일,10월 23일,11월 7일,11월 22일,12월 7일,12월 22일
1986,1월 6일,1월 20일,2월 4일,2월 19일,3월 6일,3월 21일,4월 5일,4월 20일,5월 6일,5월 21일,6월 6일,6월 22일,7월 7일,7월 23일,8월 8일,8월 23일,9월 8일,9월 23일,10월 8일,10월 24일,11월 8일,11월 22일,12월 7일,12월 22일
1987,1월 6일,1월 20일,2월 4일,2월 19일,3월 6일,3월 21일,4월 5일,4월 20일,5월 6일,5월 21일,6월 6일,6월 22일,7월 8일,7월 23일,8월 8일,8월 24일,9월 8일,9월 23일,10월 9일,10월 24일,11월 8일,11월 23일,12월 8일,12월 22일
1988,1월 6일,1월 21일,2월 4일,2월 19일,3월 5일,3월 20일,4월 4일,4월 20일,5월 5일,5월 21일,6월 5일,6월 21일,7월 7일,7월 22일,8월 7일,8월 23일,9월 7일,9월 23일,10월 8일,10월 23일,11월 7일,11월 22일,12월 7일,12월 22일
1989,1월 5일,1월 20일,2월 4일,2월 19일,3월 5일,3월 21일,4월 5일,4월 20일,5월 5일,5월 21일,6월 6일,6월 21일,7월 7일,7월 23일,8월 7일,8월 23일,9월 8일,9월 23일,10월 8일,10월 23일,11월 7일,11월 22일,12월 7일,12월 22일
1990,1월 5일,1월 20일,2월 4일,2월 19일,3월 6일,3월 21일,4월 5일,4월 20일,5월 6일,5월 21일,6월 6일,6월 22일,7월 7일,7월 23일,8월 8일,8월 23일,9월 8일,9월 23일,10월 8일,10월 24일,11월 8일,11월 22일,12월 7일,12월 22일
1991,1월 6일,1월 20일,2월 4일,2월 19일,3월 6일,3월 21일,4월 5일,4월 20일,5월 6일,5월 21일,6월 6일,6월 22일,7월 7일,7월 23일,8월 8일,8월 24일,9월 8일,9월 23일,10월 9일,10월 24일,11월 8일,11월 23일,12월 7일,12월 22일
1992,1월 6일,1월 21일,2월 4일,2월 19일,3월 5일,3월 20일,4월 4일,4월 20일,5월 5일,5월 21일,6월 5일,6월 21일,7월 7일,7월 22일,8월 7일,8월 23일,9월 7일,9월 23일,10월 8일,10월 23일,11월 7일,11월 22일,12월 7일,12월 21일
1993,1월 5일,1월 20일,2월 4일,2월 19일,3월 5일,3월 20일,4월 5일,4월 20일,5월 5일,5월 21일,6월 6일,6월 21일,7월 7일,7월 23일,8월 7일,8월 23일,9월 8일,9월 23일,10월 8일,10월 23일,11월 7일,11월 22일,12월 7일,12월 22일
1994,1월 5일,1월 20일,2월 4일,2월 19일,3월 6일,3월 21일,4월 5일,4월 20일,5월 6일,5월 21일,6월 6일,6월 21일,7월 7일,7월 23일,8월 8일,8월 23일,9월 8일,9월 23일,10월 8일,10월 24일,11월 8일,11월 22일,12월 7일,12월 22일
1995,1월 6일,1월 20일,2월 4일,2월 19일,3월 6일,3월 21일,4월 5일,4월 20일,5월 6일,5월 21일,6월 6일,6월 22일,7월 7일,7월 23일,8월 8일,8월 23일,9월 8일,9월 23일,10월 9일,10월 24일,11월 8일,11월 23일,12월 7일,12월 22일
